time, pressure (hPa), altitude_raw (ft), acceleration_raw_x (ft/s^2), acceleration_raw_y, acceleration_raw_z, gyro_x (radians/s), gyro_y, gyro_z, altitude_filtered (ft), velocity_filtered (ft/s), acceleration_filtered (ft/s^2), temperature (from IMU, degrees C), ats_position (servo degrees)
234451,979.60,284.01,-51.13,128.46,5.03,0.17,-1.57,0.23,941.95,49.00,125.04,13.20,0.00
234481,979.58,284.15,-39.92,128.58,-26.33,0.12,-0.38,0.05,942.07,51.71,131.61,13.20,0.00
234512,979.57,284.30,-41.05,128.58,-19.94,0.16,-0.53,-0.08,942.31,54.56,134.22,13.19,0.00
234541,979.54,284.49,-31.45,128.58,-15.36,0.11,-0.54,-0.17,942.69,57.45,133.70,13.18,0.00
234582,979.50,285.43,-28.93,128.58,-13.19,0.07,-0.57,-0.33,943.57,61.16,133.02,13.20,0.00
234612,979.37,286.00,-29.73,128.58,-12.48,0.02,-0.53,-0.44,944.58,64.40,132.77,13.21,0.00
234637,979.30,286.56,-29.06,128.58,-11.55,-0.01,-0.48,-0.55,945.78,67.72,132.53,13.21,0.00
234673,979.21,287.36,-27.39,128.58,-7.64,-0.06,-0.39,-0.65,947.25,71.17,132.07,13.19,0.00
234702,979.10,288.28,-25.36,128.58,-7.59,-0.13,-0.44,-0.70,949.00,74.76,131.64,13.22,0.00
234732,979.00,289.11,-22.97,128.58,-9.08,-0.21,-0.48,-0.73,950.96,78.42,131.26,13.21,0.00
234763,978.89,290.04,-20.21,128.58,-8.56,-0.28,-0.51,-0.74,953.15,82.17,130.82,13.23,0.00
234792,978.80,290.88,-15.20,128.58,-10.96,-0.33,-0.57,-0.70,955.51,85.95,130.34,13.22,0.00
234817,978.68,291.91,-13.93,128.58,-12.25,-0.38,-0.62,-0.62,958.10,89.81,130.11,13.24,0.00
234848,978.56,292.93,-11.21,128.58,-16.61,-0.42,-0.65,-0.53,960.88,93.74,130.12,13.22,0.00
234877,978.41,294.23,-6.17,128.58,-21.46,-0.41,-0.69,-0.41,963.94,97.80,130.33,13.20,0.00
234907,978.21,295.86,-1.10,128.58,-21.38,-0.38,-0.70,-0.25,967.38,102.07,130.34,13.23,0.00
234938,978.02,297.50,-3.27,128.58,-24.59,-0.31,-0.73,-0.09,971.16,106.52,130.68,13.20,0.00
234967,977.85,299.01,-8.81,128.58,-25.79,-0.25,-0.70,0.07,975.21,111.08,131.09,13.24,0.00
234997,977.67,300.51,-8.56,128.58,-27.06,-0.13,-0.69,0.18,979.47,115.72,131.41,13.21,0.00
235027,977.51,301.94,-12.71,128.58,-27.58,-0.06,-0.67,0.26,983.91,120.40,131.80,13.23,0.00
235058,977.34,303.37,-14.85,128.58,-29.35,0.02,-0.64,0.31,988.51,125.11,132.30,13.25,0.00
235087,977.17,304.80,-18.39,128.58,-28.69,0.12,-0.62,0.31,993.24,129.82,132.70,13.22,0.00
235117,976.99,306.35,-22.13,128.58,-26.43,0.19,-0.57,0.27,998.13,134.56,132.93,13.21,0.00
235148,976.83,307.75,-23.72,128.58,-23.68,0.23,-0.49,0.22,1003.12,139.25,132.91,13.23,0.00
235177,976.69,308.91,-25.00,128.58,-17.64,0.24,-0.38,0.15,1008.08,143.82,132.51,13.26,0.00
235207,976.56,310.06,-25.49,128.58,-14.24,0.21,-0.29,0.04,1013.03,148.24,132.16,13.28,0.00
235237,976.39,311.49,-21.99,128.58,-12.97,0.13,-0.21,-0.04,1018.06,152.61,131.58,13.21,0.00
235268,976.20,313.13,-21.40,128.58,-10.07,0.06,-0.15,-0.08,1023.25,156.99,131.13,13.21,0.00
235297,975.99,314.90,-18.57,128.58,-8.38,-0.02,-0.10,-0.11,1028.63,161.40,130.62,13.24,0.00
